ID,TARGET
0,270
1,338
2,150
3,269
4,522
5,470
6,354
7,213
8,293
9,408
10,546
11,618
12,444
13,122
14,226
15,1479
16,474
17,233
18,435
19,260
20,283
21,330
22,324
23,105
24,386
25,414
26,266
27,190
28,219
29,312
30,662
31,531
32,433
33,165
34,195
35,249
36,304
37,387
38,554
39,145
40,489
41,408
42,739
43,286
44,598
45,169
46,427
47,336
48,253
49,280
50,248
51,196
52,276
53,180
54,166
55,328
56,1501
57,148
58,682
59,262
60,498
61,439
62,406
63,131
64,404
65,155
66,482
67,199
68,240
69,347
70,232
71,1265
72,165
73,596
74,249
75,361
76,459
77,206
78,649
79,133
80,328
81,370
82,424
83,437
84,154
85,445
86,139
87,437
88,617
89,131
90,211
91,748
92,671
93,196
94,2274
95,166
96,258
97,301
98,323
99,141
100,650
101,274
102,163
103,183
104,254
105,299
106,299
107,503
108,256
109,430
110,98
111,256
112,300
113,282
114,303
115,180
116,279
117,373
118,144
119,178
120,489
121,333
122,186
123,295
124,349
125,194
126,275
127,431
128,359
129,241
130,264
131,362
132,238
133,469
134,124
135,193
136,663
137,631
138,195
139,182
140,729
141,602
142,114
143,558
144,193
145,389
146,381
147,412
148,275
149,807
150,281
151,513
152,342
153,171
154,289
155,491
156,330
157,169
158,214
159,296
160,282
161,364
162,274
163,440
164,229
165,246
166,198
167,229
168,207
169,372
170,543
171,309
172,304
173,298
174,287
175,216
176,231
177,192
178,379
179,229
180,235
181,479
182,174
183,134
184,331
185,235
186,502
187,421
188,278
189,541
190,354
191,319
192,131
193,291
194,148
195,187
196,140
197,553
198,434
199,550
200,175
201,180
202,377
203,162
204,1095
205,389
206,393
207,1428
208,564
209,190
210,139
211,167
212,426
213,376
214,208
215,247
216,269
217,171
218,509
219,165
220,728
221,293
222,591
223,800
224,170
225,337
226,98
227,208
228,202
229,246
230,323
231,225
232,500
233,371
234,270
235,187
236,143
237,330
238,186
239,276
240,250
241,493
242,450
243,222
244,264
245,304
246,324
247,355
248,164
249,160
250,165
251,226
252,689
253,435
254,960
255,132
256,197
257,467
258,189
259,325
260,238
261,235
262,332
263,200
264,220
265,214
266,628
267,430
268,202
269,263
270,509
271,269
272,298
273,125
274,554
275,272
276,266
277,256
278,334
279,229
280,296
281,377
282,333
283,457
284,393
285,391
286,401
287,283
288,189
289,774
290,399
291,206
292,443
293,485
294,160
295,344
296,158
297,561
298,396
299,202
300,374
301,639
302,145
303,200
304,284
305,2036
306,174
307,302
308,277
309,411
310,425
311,126
312,148
313,532
314,201
315,670
316,187
317,855
318,362
319,110
320,190
321,305
322,332
323,369
324,315
325,191
326,586
327,131
328,472
329,159
330,436
331,270
332,561
333,546
334,161
335,388
336,792
337,507
338,266
339,135
