ID,TARGET
0,216
1,325
2,140
3,258
4,516
5,461
6,367
7,193
8,267
9,384
10,552
11,635
12,452
13,102
14,241
15,1342
16,480
17,230
18,413
19,233
20,266
21,304
22,295
23,102
24,363
25,431
26,253
27,173
28,219
29,288
30,607
31,512
32,404
33,146
34,188
35,228
36,310
37,397
38,577
39,141
40,485
41,394
42,703
43,262
44,647
45,157
46,398
47,307
48,256
49,268
50,227
51,198
52,270
53,177
54,186
55,294
56,1345
57,135
58,661
59,270
60,489
61,403
62,468
63,115
64,382
65,131
66,443
67,195
68,223
69,353
70,222
71,1137
72,143
73,604
74,227
75,352
76,433
77,185
78,615
79,118
80,315
81,352
82,390
83,401
84,144
85,397
86,114
87,434
88,569
89,142
90,184
91,757
92,691
93,190
94,2052
95,154
96,239
97,270
98,323
99,131
100,616
101,249
102,149
103,178
104,228
105,270
106,288
107,484
108,237
109,445
110,101
111,228
112,300
113,242
114,293
115,160
116,252
117,362
118,143
119,176
120,452
121,334
122,164
123,279
124,363
125,179
126,248
127,392
128,331
129,227
130,263
131,335
132,237
133,446
134,118
135,179
136,663
137,608
138,174
139,168
140,664
141,585
142,103
143,550
144,181
145,361
146,372
147,396
148,259
149,651
150,276
151,471
152,349
153,151
154,273
155,454
156,283
157,152
158,216
159,286
160,239
161,334
162,250
163,429
164,203
165,270
166,196
167,222
168,204
169,374
170,523
171,252
172,263
173,286
174,242
175,217
176,203
177,183
178,364
179,196
180,218
181,492
182,146
183,129
184,309
185,238
186,488
187,449
188,250
189,588
190,330
191,299
192,113
193,311
194,136
195,180
196,138
197,563
198,413
199,567
200,162
201,165
202,332
203,160
204,1040
205,392
206,361
207,1376
208,585
209,182
210,125
211,156
212,428
213,350
214,202
215,225
216,230
217,149
218,518
219,157
220,695
221,283
222,608
223,752
224,156
225,329
226,101
227,203
228,208
229,234
230,322
231,204
232,483
233,334
234,246
235,188
236,139
237,339
238,170
239,251
240,218
241,475
242,440
243,211
244,238
245,292
246,307
247,293
248,148
249,140
250,136
251,206
252,694
253,436
254,885
255,114
256,181
257,431
258,176
259,315
260,233
261,215
262,356
263,202
264,179
265,200
266,621
267,431
268,203
269,252
270,512
271,262
272,273
273,102
274,534
275,270
276,272
277,238
278,326
279,216
280,288
281,392
282,317
283,441
284,393
285,362
286,404
287,278
288,177
289,780
290,405
291,200
292,454
293,477
294,147
295,317
296,147
297,548
298,390
299,211
300,362
301,690
302,146
303,197
304,255
305,1923
306,150
307,268
308,271
309,403
310,442
311,130
312,147
313,497
314,199
315,683
316,179
317,884
318,324
319,102
320,195
321,295
322,322
323,350
324,317
325,209
326,547
327,115
328,439
329,147
330,405
331,261
332,579
333,567
334,141
335,353
336,746
337,521
338,269
339,135
340,256
341,645
342,169
343,229
344,147
345,216
346,265
347,683
348,304
349,353
350,284
351,194
352,239
353,386
354,498
355,432
356,417
357,236
358,643
359,384
360,300
361,185
362,311
363,435
364,135
365,265
366,171
367,729
368,311
369,402
370,444
371,327
372,324
373,123
374,497
375,178
376,410
377,260
378,268
379,234
380,184
381,102
382,178
383,702
384,171
385,513
386,657
387,387
388,189
389,783
390,187
391,406
392,163
393,406
394,296
395,286
396,385
397,188
398,250
399,224
400,183
401,639
402,395
403,214
404,267
405,211
406,102
407,325
408,882
409,209
410,251
411,219
412,316
413,388
414,326
415,279
416,944
417,218
418,233
419,496
420,315
421,194
422,441
423,490
424,233
425,134
426,380
427,224
428,299
429,192
430,230
431,192
432,294
433,352
434,266
435,270
436,148
437,163
438,158
439,297
440,615
441,231
442,438
443,267
444,192
445,127
446,404
447,177
448,254
449,284
450,506
451,254
452,225
453,208
454,482
455,872
456,511
457,696
458,332
459,580
460,429
461,294
462,1305
463,155
464,185
465,223
466,319
467,248
468,173
469,188
470,191
471,381
472,207
473,219
474,497
475,287
476,193
477,132
478,283
479,199
480,223
481,579
482,380
483,165
484,291
485,512
486,300
487,458
488,158
489,102
490,494
491,500
492,346
493,120
494,160
495,417
496,368
497,249
498,352
499,270
500,322
501,1087
502,354
503,154
504,1018
505,181
506,181
507,189
508,263
509,221
510,152
511,378
512,365
513,182
514,160
515,101
516,186
517,351
518,210
519,115
520,193
521,469
522,568
523,102
524,142
525,301
526,414
527,150
528,383
529,106
530,472
531,336
532,258
533,715
534,236
535,201
536,268
537,442
538,1186
539,148
540,322
541,275
542,189
543,492
544,118
545,198
546,216
547,344
548,102
549,659
550,197
551,169
552,515
553,482
554,181
555,960
556,222
557,684
558,739
559,363
560,432
561,102
562,545
563,459
564,226
565,421
566,297
567,201
568,301
569,190
570,615
571,262
572,366
573,245
574,200
575,496
576,256
577,271
578,138
579,117
580,281
581,271
582,166
583,398
584,275
585,506
586,394
587,102
588,164
589,238
590,138
591,214
592,241
593,350
594,227
595,307
596,819
597,525
598,269
599,228
600,732
601,653
602,326
603,623
604,489
605,1398
606,224
607,1026
608,111
609,385
610,488
611,351
612,375
613,156
614,199
615,106
616,252
617,367
618,594
619,320
620,124
621,560
622,466
623,794
624,231
625,230
626,207
